,Search String,Title,Heading,Link,Date,Search Engine
33,IRFC and Stocks,"Money Making Ideas: IRFC, Varun Beverages, IDBI Bank, Bank Of India Are Top Stocks To Buy Today | Check Share",Times Now,/url?q=https://www.timesnownews.com/business-economy/markets/money-making-ideas-irfc-varun-beverages-idbi-bank-bank-of-india-are-top-stocks-to-buy-today-check-share-price-target-article-109019677&sa=U&ved=2ahUKEwijpOWh8LaFAxWHXGwGHQy9DX44HhDF9AF6BAgIEAI&usg=AOvVaw0mL_9S16mjNmYio8EUjJ2h,2024-04-10 10:31:46.933505,Google
34,IRFC and Stocks,IRFC shares zoom over 430% in a year; is more steam left?,Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-shares-zoom-over-430-in-a-year-is-more-steam-left-417606-2024-02-15&sa=U&ved=2ahUKEwijpOWh8LaFAxWHXGwGHQy9DX44HhDF9AF6BAgHEAI&usg=AOvVaw31Cww5PUDxX76itq55P3O6,2024-04-10 10:36:46.933519,Google
35,IRFC and Stocks,"IRFC shares zoom 487% from 52-week low, overbought on charts; more steam left?",Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-shares-rise-record-high-buy-sell-hold-413711-2024-01-17&sa=U&ved=2ahUKEwijpOWh8LaFAxWHXGwGHQy9DX44HhDF9AF6BAgEEAI&usg=AOvVaw09awy8lM8D972J1KTiA0iX,2024-04-10 10:35:46.933533,Google
36,IRFC and Stocks,IRFC & RailTel: What Akshay Bhagwat of JM Financial says on these 2 railway stocks ahead of Budget 2024,Business Today,/url?q=https://www.businesstoday.in/markets/stocks/story/irfc-railtel-what-akshay-bhagwat-of-jm-financial-says-on-these-2-railway-stocks-ahead-of-budget-415693-2024-02-01&sa=U&ved=2ahUKEwijpOWh8LaFAxWHXGwGHQy9DX44HhDF9AF6BAgDEAI&usg=AOvVaw11ayNWSRJwDsaFY_WvJpSa,2024-04-10 10:35:46.933546,Google
37,IRFC and Stocks,"Five railway stocks including IRFC, RVNL slide up to 14% amid profit booking | Mint",mint,/url?q=https://www.livemint.com/market/stock-market-news/five-railway-stocks-including-irfc-rvnl-slide-up-to-14-amid-profit-booking-11705998871779.html&sa=U&ved=2ahUKEwijpOWh8LaFAxWHXGwGHQy9DX44HhDF9AF6BAgBEAI&usg=AOvVaw1o0nG7P9nHEydXmuYdegdu,2024-04-10 10:35:46.933560,Google
38,IRFC and Stocks,"IRFC shares see profit-booking, clock high turnover; price targets, resistance, stop loss & more",Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-shares-fall-price-targets-resistance-stop-loss-high-turnover-415220-2024-01-29&sa=U&ved=2ahUKEwijpOWh8LaFAxWHXGwGHQy9DX44HhDF9AF6BAgFEAI&usg=AOvVaw0ku1kMCQuVg608RW875-4-,2024-04-10 10:35:46.933574,Google
39,IRFC and Stocks,"Hot stocks on March 22: IREDA, Waaree Renewable, IRFC, LTI Mindtree and more",BUSINESS TODAY,/url?q=https://www.businesstoday.in/visualstories/stock/hot-stocks-on-march-22-ireda-waaree-renewable-irfc-lti-mindtree-and-more-115130-22-03-2024&sa=U&ved=2ahUKEwijpOWh8LaFAxWHXGwGHQy9DX44HhDF9AF6BAgAEAI&usg=AOvVaw3YqV5qCT9wBGmn_yEjZjGe,2024-04-10 10:35:46.933600,Google
40,IRFC and Stocks,"IRFC's m-cap zooms past 21 Nifty stocks, including Bajaj Auto, M&M, LTIM",The Economic Times,/url?q=https://m.economictimes.com/markets/stocks/news/irfcs-m-cap-zooms-past-21-nifty-stocks-including-bajaj-auto-mm-ltim/articleshow/106983659.cms&sa=U&ved=2ahUKEwixzoii8LaFAxW7SGcHHfNyBEY4KBDF9AF6BAgBEAI&usg=AOvVaw2AmzhLQ7hX5UNBhtmERPxg,2024-04-10 10:35:46.933644,Google
41,IRFC and Stocks,"Budget 2024: IRCTC, IRFC, RVNL to Ircon — Why railway stocks are skyrocketing? | Mint",mint,/url?q=https://www.livemint.com/market/stock-market-news/budget-2024-irctc-irfc-rvnl-to-ircon-why-railway-stocks-are-skyrocketing-11705046185682.html&sa=U&ved=2ahUKEwixzoii8LaFAxW7SGcHHfNyBEY4KBDF9AF6BAgJEAI&usg=AOvVaw11cS9T7ju0Ur7qusjF756L,2024-04-10 10:35:46.933657,Google
42,IRFC and Stocks,"IRFC shares extend fall, dive 11% today; here's what analysts say",Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-shares-extend-fall-dive-11-today-heres-what-analysts-say-417130-2024-02-12&sa=U&ved=2ahUKEwixzoii8LaFAxW7SGcHHfNyBEY4KBDF9AF6BAgHEAI&usg=AOvVaw2Ip97p36Gqof9v1nZUqBTG,2024-04-10 10:36:46.933690,Google
43,IRFC and Stocks,IRFC shares plunge over 10% after Q3 profit declines,The Economic Times,/url?q=https://m.economictimes.com/markets/stocks/news/irfc-shares-plunge-over-10-after-q3-profit-declines/articleshow/107618478.cms&sa=U&ved=2ahUKEwixzoii8LaFAxW7SGcHHfNyBEY4KBDF9AF6BAgEEAI&usg=AOvVaw38PPfyLiOND6y7yzbCCiin,2024-04-10 10:36:46.933728,Google
44,IRFC and Stocks,"IRFC shares rebound 12% after three sessions: Price targets, turnover, technicals and more",Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-shares-rise-price-targets-resistance-stop-loss-high-turnover-417268-2024-02-13&sa=U&ved=2ahUKEwixzoii8LaFAxW7SGcHHfNyBEY4KBDF9AF6BAgGEAI&usg=AOvVaw1PYqJK2N3qrIHoX4Tt4V8Z,2024-04-10 10:36:46.933750,Google
